,cntry,idno,netustm,lvpntyr,ppltrst,vote,prtvtdfi,gndr,yrbrn,edlvdfi,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
604,FI,23360,360.0,1988.0,7,1.0,10.0,2,1965,12.0,19.0,38.0,55.0,5400.0,,63.0
605,FI,23367,120.0,1981.0,7,1.0,11.0,1,1963,8.0,15.0,38.0,40.0,4300.0,,
606,FI,23412,120.0,1986.0,7,3.0,,2,1968,5.0,16.0,39.0,42.0,2250.0,3000.0,91.0
607,FI,23452,180.0,2016.0,8,3.0,,2,1997,4.0,15.0,40.0,40.0,,,36.0
608,FI,23479,180.0,1956.0,8,1.0,11.0,2,1939,5.0,10.0,40.0,40.0,,,66.0
609,FI,23482,120.0,2006.0,6,1.0,12.0,1,1990,5.0,15.0,,20.0,,,49.0
610,FI,23494,,1957.0,8,1.0,3.0,2,1942,2.0,7.0,40.0,5.0,,,97.0
611,FI,23500,420.0,2007.0,6,2.0,,1,1988,12.0,18.0,38.0,38.0,3900.0,,68.0
612,FI,23516,150.0,2005.0,0,2.0,,2,1988,5.0,11.0,32.0,32.0,,,59.0
613,FI,23538,,1988.0,6,2.0,,1,1971,3.0,9.0,40.0,40.0,,,69.0
614,FI,23581,30.0,1983.0,9,1.0,3.0,2,1962,8.0,16.0,39.0,39.0,3200.0,3800.0,52.0
615,FI,23588,480.0,2012.0,7,1.0,,1,1992,10.0,18.0,40.0,40.0,,,48.0
616,FI,23650,300.0,1991.0,8,1.0,11.0,2,1972,12.0,20.0,38.0,40.0,4500.0,5000.0,47.0
617,FI,23804,360.0,1983.0,5,1.0,1.0,2,1967,8.0,17.0,39.0,42.0,2800.0,3200.0,59.0
618,FI,23845,360.0,2004.0,8,1.0,10.0,2,1984,12.0,20.0,38.0,41.0,,,61.0
619,FI,23894,180.0,1986.0,3,1.0,10.0,2,1970,9.0,15.0,38.0,38.0,3200.0,,57.0
620,FI,23989,90.0,1969.0,7,1.0,1.0,2,1953,2.0,8.0,38.0,38.0,,,51.0
621,FI,23993,120.0,1976.0,8,1.0,1.0,1,1957,11.0,16.0,40.0,45.0,5800.0,,39.0
622,FI,24013,45.0,1976.0,8,1.0,1.0,2,1956,10.0,15.0,38.0,38.0,,,48.0
623,FI,24020,600.0,1998.0,4,1.0,1.0,2,1969,12.0,17.0,38.0,50.0,5400.0,,45.0
624,FI,24089,300.0,1998.0,7,2.0,,1,1983,5.0,12.0,40.0,40.0,27750.0,37000.0,46.0
625,FI,24116,240.0,1997.0,9,1.0,10.0,2,1978,9.0,20.0,38.0,38.0,2771.0,3700.0,46.0
626,FI,24182,60.0,1959.0,8,2.0,,1,1940,13.0,18.0,36.0,36.0,,,42.0
627,FI,24229,240.0,1985.0,6,2.0,,1,1967,5.0,13.0,16.0,16.0,,,47.0
628,FI,24240,90.0,1997.0,7,1.0,10.0,2,1976,12.0,22.0,38.0,40.0,,2900.0,44.0
629,FI,24251,60.0,1975.0,8,1.0,10.0,2,1955,4.0,15.0,32.0,32.0,,,77.0
630,FI,24375,300.0,1987.0,5,1.0,,2,1968,8.0,18.0,39.0,39.0,2800.0,3400.0,49.0
631,FI,24408,480.0,2017.0,6,3.0,,1,2000,5.0,12.0,35.0,35.0,1000.0,1100.0,54.0
632,FI,24410,240.0,2000.0,8,1.0,10.0,2,1981,12.0,22.0,37.0,39.0,3200.0,4000.0,52.0
633,FI,24447,300.0,1989.0,7,1.0,11.0,1,1970,12.0,19.0,38.0,38.0,3750.0,3500.0,63.0
634,FI,24527,210.0,1982.0,7,1.0,11.0,2,1967,3.0,11.0,,4.0,,,76.0
635,FI,24529,60.0,1955.0,8,1.0,1.0,1,1944,8.0,18.0,84.0,84.0,,,87.0
636,FI,24665,180.0,2002.0,8,2.0,,1,1982,5.0,11.0,6.0,6.0,1400.0,,42.0
637,FI,24666,,1984.0,7,1.0,4.0,2,1968,5.0,11.0,22.0,,,,61.0
638,FI,24684,30.0,1982.0,7,1.0,10.0,2,1961,8.0,17.0,20.0,20.0,,,44.0
639,FI,24734,240.0,1996.0,8,1.0,10.0,1,1976,8.0,14.0,39.0,42.0,4000.0,3800.0,61.0
640,FI,24735,15.0,1976.0,7,1.0,11.0,2,1952,7.0,10.0,39.0,39.0,,,59.0
641,FI,24748,60.0,1982.0,6,1.0,2.0,1,1960,5.0,12.0,40.0,40.0,,6000.0,58.0
642,FI,24761,360.0,0.0,9,3.0,,2,2001,3.0,10.0,,,,,51.0
643,FI,24795,180.0,2008.0,9,1.0,4.0,1,1986,3.0,12.0,34.0,37.0,65000.0,,122.0
644,FI,24924,60.0,1980.0,10,1.0,3.0,1,1956,2.0,9.0,40.0,50.0,5500.0,,46.0
645,FI,24965,390.0,1981.0,7,1.0,2.0,2,1964,12.0,18.0,40.0,45.0,37000.0,50000.0,66.0
646,FI,25124,90.0,1972.0,8,1.0,11.0,1,1956,5.0,10.0,40.0,40.0,,,47.0
647,FI,25181,120.0,1955.0,8,1.0,11.0,2,1937,5.0,11.0,40.0,40.0,,,53.0
648,FI,25330,30.0,1976.0,8,1.0,1.0,2,1955,12.0,18.0,38.0,38.0,5000.0,,56.0
649,FI,25400,60.0,1969.0,7,1.0,11.0,1,1950,5.0,8.0,24.0,24.0,,,66.0
650,FI,25463,360.0,1986.0,7,1.0,11.0,2,1963,10.0,24.0,37.0,37.0,2700.0,3000.0,95.0
651,FI,25590,120.0,0.0,10,3.0,,2,2001,3.0,11.0,30.0,32.0,,,39.0
652,FI,25614,360.0,1974.0,8,1.0,1.0,1,1957,9.0,18.0,50.0,50.0,,,
653,FI,25689,120.0,1970.0,8,1.0,1.0,1,1950,8.0,14.0,15.0,15.0,,,70.0
654,FI,25692,60.0,2016.0,8,3.0,,2,1998,5.0,12.0,38.0,38.0,2400.0,,40.0
655,FI,25704,270.0,1994.0,6,1.0,4.0,1,1968,8.0,16.0,38.0,40.0,4600.0,,50.0
656,FI,25725,600.0,2010.0,7,2.0,,1,1991,4.0,17.0,15.0,15.0,500.0,,55.0
657,FI,25728,,1954.0,4,1.0,2.0,2,1934,1.0,6.0,70.0,70.0,,,73.0
658,FI,25729,,1957.0,6,1.0,3.0,2,1935,1.0,6.0,40.0,40.0,,,45.0
659,FI,25759,420.0,1968.0,7,1.0,11.0,1,1947,12.0,16.0,37.0,50.0,,,62.0
660,FI,25799,180.0,1986.0,2,1.0,4.0,1,1971,5.0,13.0,20.0,20.0,3500.0,4000.0,61.0
661,FI,25808,480.0,2005.0,8,1.0,10.0,2,1987,9.0,16.0,38.0,38.0,2500.0,2800.0,41.0
662,FI,25820,90.0,1969.0,10,1.0,11.0,1,1945,5.0,15.0,,,,,85.0
663,FI,25829,120.0,0.0,8,3.0,,2,2002,2.0,9.0,4.0,4.0,100.0,,49.0
664,FI,25832,300.0,1980.0,6,1.0,11.0,2,1964,8.0,12.0,38.0,39.0,2500.0,3000.0,54.0
665,FI,25867,240.0,1998.0,1,1.0,1.0,1,1981,3.0,9.0,50.0,50.0,4600.0,,48.0
666,FI,25876,60.0,1994.0,6,2.0,,1,1953,2.0,9.0,38.0,38.0,,,73.0
667,FI,25892,600.0,2004.0,6,1.0,11.0,1,1984,11.0,20.0,38.0,38.0,3750.0,,41.0
668,FI,25898,70.0,1990.0,9,1.0,1.0,2,1974,11.0,19.0,38.0,38.0,1300.0,,
669,FI,25920,180.0,1969.0,3,1.0,3.0,2,1948,2.0,8.0,60.0,60.0,,,41.0
670,FI,25959,300.0,2010.0,0,1.0,1.0,2,1992,4.0,17.0,30.0,30.0,1700.0,,43.0
671,FI,26081,120.0,1993.0,7,1.0,1.0,2,1973,5.0,17.0,168.0,49.0,5000.0,7000.0,50.0
672,FI,26092,,1973.0,8,1.0,3.0,2,1953,8.0,17.0,20.0,16.0,,,76.0
673,FI,26105,240.0,1979.0,5,1.0,10.0,2,1959,12.0,18.0,47.0,47.0,3800.0,4300.0,45.0
674,FI,26131,120.0,0.0,8,3.0,,1,2002,3.0,9.0,,,,,36.0
675,FI,26228,90.0,1975.0,8,1.0,11.0,2,1960,8.0,15.0,39.0,39.0,3100.0,4000.0,50.0
676,FI,26237,60.0,0.0,7,3.0,,1,1999,5.0,12.0,25.0,25.0,,,40.0
677,FI,26266,120.0,2003.0,7,2.0,,1,1984,5.0,12.0,35.0,35.0,3500.0,4000.0,48.0
678,FI,26274,60.0,1968.0,10,1.0,11.0,2,1952,5.0,13.0,30.0,30.0,,3000.0,59.0
679,FI,26312,600.0,0.0,3,3.0,,1,2002,2.0,10.0,7.0,7.0,,,51.0
680,FI,26345,60.0,1972.0,8,1.0,4.0,2,1947,8.0,7.0,15.0,15.0,,,50.0
681,FI,26401,,1948.0,10,1.0,3.0,2,1936,3.0,10.0,38.0,38.0,,,78.0
682,FI,26499,150.0,2018.0,6,3.0,,2,1998,6.0,12.0,,,2000.0,2300.0,49.0
683,FI,26514,240.0,1982.0,7,1.0,,1,1962,2.0,9.0,40.0,40.0,,,59.0
684,FI,26560,480.0,2003.0,5,1.0,10.0,1,1983,8.0,14.0,40.0,43.0,3500.0,,54.0
685,FI,26670,180.0,1992.0,7,1.0,10.0,2,1972,13.0,18.0,27.0,27.0,3800.0,6000.0,58.0
686,FI,26733,150.0,2013.0,5,2.0,,2,1994,5.0,14.0,7.0,7.0,1100.0,1600.0,49.0
687,FI,26751,480.0,1974.0,7,1.0,4.0,2,1956,10.0,16.0,37.0,38.0,2400.0,2800.0,47.0
688,FI,26755,,1961.0,8,1.0,4.0,2,1945,5.0,12.0,40.0,40.0,,,62.0
689,FI,26769,,1979.0,6,1.0,11.0,1,1948,9.0,14.0,40.0,45.0,,,70.0
690,FI,26778,,1976.0,7,1.0,3.0,1,1954,8.0,13.0,38.0,38.0,,,49.0
691,FI,26847,60.0,1977.0,9,1.0,10.0,2,1960,8.0,17.0,40.0,45.0,,,56.0
692,FI,26881,270.0,2018.0,7,3.0,,2,2001,2.0,10.0,38.0,38.0,,,44.0
693,FI,26958,,1975.0,7,2.0,,1,1953,5.0,10.0,40.0,40.0,,,140.0
694,FI,27003,420.0,2018.0,7,2.0,,1,1994,10.0,16.0,40.0,40.0,2600.0,,56.0
695,FI,27113,90.0,2006.0,0,1.0,1.0,1,1986,12.0,16.0,38.0,38.0,3400.0,3800.0,
696,FI,27128,,1970.0,8,1.0,10.0,2,1953,10.0,14.0,42.0,42.0,,,48.0
697,FI,27139,540.0,1994.0,8,1.0,3.0,2,1975,9.0,17.0,38.0,52.0,3200.0,,82.0
698,FI,27189,60.0,1974.0,7,1.0,3.0,1,1955,12.0,20.0,26.0,40.0,,,44.0
699,FI,27200,240.0,2000.0,8,1.0,10.0,2,1981,9.0,17.0,38.0,38.0,3400.0,,60.0
700,FI,27239,,1967.0,6,1.0,4.0,1,1946,8.0,13.0,38.0,38.0,,,54.0
